protein_a,protein_b,interaction_score
SLC5A2,GLP1R,0.909
SCARB2,PPARA,0.909
SI,MGAM,0.909
NADK2,ENPP1,0.909
GAD1,ADO,0.909
TLE4,TCF7L2,0.909
TLE4,TCF4,0.909
ENPP3,GUCY1B1,0.908
PTEN,MYC,0.908
PDE3A,ENPP1,0.908
NOS2,PTGS2,0.908
NDUFA9,NDUFAF2,0.908
HHEX,IGF2BP2,0.908
PDE8B,ENPP1,0.907
SLC12A2,ADCY9,0.907
NT5C2,ENPP1,0.907
BDNF,IGF1R,0.907
GUCY1B1,ENPP1,0.907
ACADS,ALDH2,0.906
NDUFA10,NDUFAF4,0.906
AKT2,NOS1,0.906
DGKD,LPL,0.906
PPP2R2C,BCL2,0.906
PIP4K2A,ACTN1,0.906
PDE3A,ENPP3,0.906
DPP4,INS,0.906
ACTN1,TTN,0.906
GAA,MGAM2,0.906
NDUFAF4,NDUFA6,0.905
SV2A,GP2,0.905
KLB,FGFR3,0.905
NDUFAF3,NDUFAF6,0.905
IL13,IL2RA,0.905
SREBF1,ABCA1,0.905
PDE8B,ENPP3,0.905
PDE3B,ENPP1,0.905
LDB2,ZFPM1,0.905
NDUFA4,NDUFA4L2,0.904
HCN4,HCN1,0.904
KDM5A,EMSY,0.904
PPP2R3A,DRD2,0.904
CAMK2B,PLCG2,0.904
NDUFAF1,MT-ND4L,0.904
DRD2,PPP2R2C,0.903
AK4,ENPP1,0.903
IRS1,ESR1,0.903
PPP2R2A,DRD2,0.903
GLP1R,INS,0.903
HMGA1,HMGA2,0.902
CTBP1,TLE1,0.902
AK4,ENPP3,0.902
NDUFA7,NDUFAF3,0.901
GCK,HNF1A,0.901
BMF,BCL2L11,0.901
REEP3,JMJD1C,0.901
NADK2,ENPP3,0.901
NDUFS3,NDUFAF6,0.901
CDKN1B,DCAF5,0.901
CTBP1,BCORL1,0.901
ADCY9,CNR1,0.9
NDUFAF2,NDUFC1,0.9
SLX4,FANCL,0.9
MLXIPL,SREBF1,0.9
RBPJ,HEY2,0.9
DGKB,LPL,0.9
HSPA4,BCL2,0.899
NEUROG3,RFX6,0.899
FOXA2,HNF1A,0.899
CPA1,PNLIP,0.899
NDUFAF3,NDUFAB1,0.899
NDUFAF1,MT-ND6,0.899
SLC5A1,SLC2A2,0.899
GCK,KCNJ11,0.899
RUNX3,TCF7L2,0.899
MEF2C,HDAC9,0.898
NDUFB9,NDUFAF4,0.898
NDUFAF2,NDUFB6,0.898
SF3B4,ZMAT5,0.898
CDKAL1,IGF2BP2,0.898
INS,PPARA,0.898
BCL2,ESR1,0.897
NDUFAF3,NDUFB3,0.897
NDUFA10,NDUFAF3,0.896
IL1B,INS,0.896
ISL1,NEUROG3,0.896
NDUFB11,NDUFAF2,0.895
NDUFAF4,NDUFB6,0.895
SAMM50,TOMM7,0.895
LHX2,CITED2,0.895
SREBF1,FBXW7,0.894
ARG1,IL10,0.893
MAGI2,NLGN1,0.893
PKD1,PRKD1,0.893
NDUFB4,NDUFAF2,0.892
PCBD1,HNF1B,0.892
NDUFAF3,NDUFA12,0.892
ACE,NR3C2,0.891
PAX4,HNF1A,0.891
LEP,IRS2,0.891
HUWE1,MYC,0.89
SLC30A8,TCF7L2,0.89
BDNF,SORCS2,0.89
SREBF1,INS,0.89
NDUFB8,NDUFAF4,0.889
PTGS1,MT-ND4,0.888
NDUFB4,NDUFAF4,0.888
AUTS2,PCGF3,0.888
SI,DPP4,0.887
PPARD,PPARA,0.887
BCKDHB,PCCB,0.887
LPA,APOA4,0.887
LEPR,INS,0.886
DNMT3A,TET1,0.886
HNF4A,SREBF1,0.886
SLC5A2,INS,0.885
SI,INS,0.885
DPP4,MGAM,0.885
SREBF1,PPARA,0.885
CCND2,BCL2,0.885
DCSTAMP,NFATC1,0.885
PTGS1,MT-ND4L,0.885
NEUROG3,NKX6-1,0.885
PTEN,FBXW7,0.884
PTGS1,MT-ND3,0.884
CDKAL1,TCF7L2,0.884
MTNR1B,DGKB,0.884
PRDM14,TET1,0.883
INS,MGAM,0.883
SHBG,INS,0.883
PTGS1,MT-ND5,0.883
RFX6,INS,0.882
MYC,TCF7L2,0.882
NEUROG3,NEUROD1,0.882
PTGS1,MT-ND2,0.882
LMX1B,PAX2,0.882
HMGCR,HMGA1,0.882
MTOR,INS,0.882
CPEB3,FMR1,0.881
MC4R,LEPR,0.881
PTGS1,MT-ND6,0.881
HHEX,TCF7L2,0.88
TFAP2B,CITED2,0.88
PTEN,IGF1R,0.88
GNPDA2,FTO,0.88
NDUFAF4,NDUFC1,0.88
PTGS1,MT-ND1,0.88
SSPN,SGCZ,0.879
CYP7B1,NR1H4,0.879
NEUROD1,INS,0.878
NDUFAF2,NDUFA3,0.878
CLCNKA,SLC12A3,0.878
ISL1,NKX6-1,0.877
SSPN,SNTB1,0.877
ABCA1,PPARA,0.877
NEUROG3,PDX1,0.876
CACNA1D,CACNA2D3,0.876
YKT6,VPS33B,0.876
CDC123,CAMK1D,0.876
APOE,ACE,0.876
SOS2,IRS1,0.876
ANK1,RBPJ,0.875
PPARG,ANGPTL4,0.875
ACE,DPP4,0.874
KCNJ11,INS,0.874
GNPDA2,MC4R,0.874
AP3S2,ARPIN,0.873
NDUFB4,NDUFAF3,0.873
MTOR,IGF1R,0.872
CDKAL1,FTO,0.872
LIPC,LPA,0.872
GNPDA2,SEC16B,0.872
PAX2,EYA1,0.872
ANK1,MAML3,0.872
NDUFAF3,NDUFV3,0.872
IL2RA,CTLA4,0.871
INS,HNF1A,0.871
MT-ND1,NDUFAF6,0.87
NDUFAF3,NDUFB6,0.87
CSF1,IL10,0.87
CTBP1,NCOR2,0.87
NDUFV3,NDUFAF4,0.87
GCK,MTNR1B,0.869
MED23,CCNH,0.869
IL1B,IL2RA,0.869
PTEN,INS,0.869
SMAD3,ZEB2,0.868
WT1,TET2,0.868
ONECUT1,HNF4A,0.867
HMGCR,ABCA1,0.866
SORT1,PCSK9,0.866
NEUROD1,SLC2A2,0.866
CEP120,PCNT,0.866
NDUFB7,NDUFAF4,0.865
RBPJ,MYC,0.865
DNAJC10,HSPA4,0.864
NDUFAF2,NDUFB2,0.864
PTPN22,CTLA4,0.864
ARNTL,PPARA,0.864
NDUFAF3,MT-ND4,0.864
CCND1,BRAF,0.864
HHEX,FTO,0.863
IGF2BP2,SLC30A8,0.863
SOX7,MSRA,0.863
ITGA1,LAMA1,0.862
SCARB2,PPARG,0.862
APOE,ERBB4,0.862
HNF4A,FOXA2,0.862
NKX6-1,SLC2A2,0.862
NDUFAF4,NDUFB2,0.861
MT-ND5,NDUFAF4,0.861
NDUFS7,NDUFAF6,0.861
NEGR1,FTO,0.86
TET1,TET2,0.86
GPD2,NDUFS8,0.86
CTBP1,LCORL,0.86
DTL,FBXO11,0.86
NDUFAF3,NDUFC1,0.86
MED23,TAF8,0.86
NEUROG3,INS,0.86
NDUFA7,NDUFAF4,0.859
YTHDC2,IGF2BP1,0.859
CDKN1B,CDKN2B,0.859
IL13RA1,IL10,0.859
CDKN2C,CDKN1C,0.858
NPC1,SREBF1,0.858
IL1B,PPARG,0.858
CDKAL1,KCNJ11,0.857
SHOC2,BRAF,0.857
DMD,TTN,0.857
HMGCR,PPARA,0.856
NEUROD1,HNF1A,0.856
WDR7,NCOR2,0.856
CTRB2,PNLIP,0.856
NDUFS4,NDUFAF6,0.856
CTRB1,AMY2A,0.856
PAX2,WT1,0.856
NDUFS3,ATP5MC1,0.855
MED27,CCNH,0.855
IRS1,RPTOR,0.855
TBC1D4,INS,0.855
CCND1,PTEN,0.855
CCND1,RUNX3,0.855
CDKN1B,MYC,0.855
IL1B,LEP,0.854
PRDM14,TET2,0.854
NEUROG3,SLC2A2,0.854
CTBP1,RREB1,0.853
MC4R,PCSK1,0.853
YTHDC2,IGF2BP2,0.853
INS,LPL,0.853
NKX6-1,PDX1,0.853
CTRB2,AMY2A,0.853
TCF4,TCF7L2,0.852
NDUFS8,NDUFAF6,0.852
TLE1,TCF7L2,0.852
YTHDC2,FTO,0.852
EBF1,TMTC1,0.852
ANK1,REL,0.852
IGF2BP3,IGF2BP2,0.851
TRAF3,TNFRSF11A,0.851
HNF4A,HNF1B,0.851
ATP5F1E,NDUFA2,0.851
BACH2,NCOR2,0.851
HSPA4,FAF1,0.85
GALNT3,C1GALT1,0.85
IL1B,UMOD,0.85
KIF11,DTL,0.85
ADRA1D,SNTB1,0.849
NKX6-1,ONECUT1,0.849
NDUFAF6,NDUFS1,0.849
ACE,INS,0.849
NDUFAF3,NDUFB2,0.848
SCN5A,SCN4A,0.848
PRKN,ZNF746,0.847
EBF2,TMTC1,0.847
ARF5,RAB11FIP4,0.847
AKT2,INS,0.846
APOE,IL1B,0.846
ARF5,COPB1,0.846
MC4R,NEGR1,0.845
ANK1,SCN5A,0.845
IL1B,BDNF,0.844
DRD2,SAG,0.844
KIF11,HHEX,0.844
ALDH2,PCCB,0.843
ANGPTL4,PPARA,0.843
PPARG,TET1,0.842
TYK2,SOCS2,0.842
PML,NCOR2,0.842
INS,ESR1,0.841
NDUFAF3,MT-ND5,0.841
DRD2,TH,0.841
DRD3,BDNF,0.841
ATP5F1E,NDUFA1,0.84
IGF2BP1,HMGA2,0.84
NDUFA2,TOMM7,0.84
MAGI2,MAST2,0.84
SMAD3,ESR1,0.84
ANKRD55,IFT52,0.84
KCNJ11,SLC30A8,0.84
KCNJ11,TCF7L2,0.839
LEP,PPARA,0.839
TANK,IFIH1,0.839
ZC3H13,FTO,0.839
HSPA4,MYC,0.839
SH2B3,TET2,0.839
SCN5A,SCN2A,0.838
TOX3,MAP3K1,0.838
PCGF3,BCORL1,0.838
FGFR4,NR1H4,0.837
NDUFAF4,NDUFB1,0.837
NKX6-1,INS,0.837
TH,BDNF,0.837
RUNX3,MYC,0.837
PPARA,LPL,0.836
PRDM14,FOXP1,0.836
ISL1,PAX4,0.836
YTHDC2,IGF2BP3,0.836
FXYD2,SLC12A3,0.836
LEP,SREBF1,0.836
HNF1A,ABCC8,0.835
CDKN2B,CDKN1C,0.835
TANK,DDX58,0.835
CDKN1B,PTEN,0.834
MNT,MYC,0.834
PDX1,HNF1A,0.834
HAUS6,CEP192,0.834
SREBF1,NR1H4,0.834
NDUFAF6,NDUFV1,0.833
KCNQ1,CDKAL1,0.833
LHX2,ROBO2,0.833
FMR1,TNRC6A,0.833
NDUFC2,NDUFAF2,0.833
EPC2,JAZF1,0.833
ADARB1,ADA,0.833
TENT5C,CEP192,0.832
MTNR1B,FAT3,0.831
MYBL2,RBL2,0.831
SORT1,LPL,0.831
APOE,BDNF,0.831
IL13,TYK2,0.831
TAL1,GFI1,0.831
RBPJ,RUNX3,0.83
PPARG,PTEN,0.83
SLC2A2,G6PC2,0.83
IL13,IL23R,0.83
SCARB2,ABCA1,0.83
ISL1,NEUROD1,0.83
HNF4A,RUNX3,0.829
KCNJ11,HNF1A,0.829
IGF2BP1,IGF2BP2,0.829
ATP5F1E,NDUFB9,0.828
LEP,LPL,0.828
SLC2A2,SLC5A2,0.828
IL12B,IL2RA,0.828
ADCY5,GIPR,0.828
ADCY9,ADCY5,0.827
NKX6-1,FOXA2,0.827
SLX4,WRN,0.826
PTEN,AKT2,0.826
IRS2,GRB10,0.826
SCARB2,ACSL1,0.826
ITGA11,LAMA1,0.826
GPD2,MBOAT1,0.825
IRS1,AKT2,0.825
NEUROD1,PDX1,0.825
BHMT,SARDH,0.825
NDUFA9,NDUFAF4,0.824
FGFR3,PIK3R1,0.824
NDUFB9,NDUFA4L2,0.824
TBL2,GTF2IRD1,0.824
HNF4A,NCOR2,0.824
INS,PIK3R1,0.824
NDUFA2,NDUFAF6,0.824
KSR2,BRAF,0.823
PDE3A,ADCY5,0.823
PPARG,EBF1,0.823
MC4R,SEC16B,0.823
HTT,BDNF,0.823
PDE3B,ADCY9,0.822
TAL1,ZFPM1,0.822
NDUFB8,NDUFA4L2,0.821
HHIP,GLI2,0.821
PPARG,ABCA1,0.82
PPARA,ACSL1,0.82
TLR4,XDH,0.82
IGF2BP1,MAPK4,0.82
CCND1,TCF7L2,0.82
SLC30A1,SLC39A10,0.82
CDC123,JAZF1,0.82
IL1B,ESR1,0.82
NDUFA4,MT-ND6,0.819
LEPR,IRS2,0.819
INS,IL10,0.819
KL,GALNT3,0.819
ACVR2A,FST,0.818
PNPLA3,SREBF1,0.818
NCOR2,MYC,0.818
HTT,MTOR,0.818
MYOZ2,ACTN1,0.818
PDGFC,IGF1R,0.817
PCGF3,KDM2B,0.817
DRD4,BDNF,0.817
DGKD,GPD2,0.817
ATP5F1E,NDUFA5,0.817
NDUFA8,ATP5MC1,0.817
HTT,PRKN,0.817
HHEX,TSPAN8,0.817
CTRB1,INS,0.817
L2HGDH,GAD1,0.817
CDKN1B,CDC25A,0.817
CFTR,SLC12A2,0.816
GPD2,DGKB,0.816
SMAD3,ETS1,0.816
NDUFAF3,TNFRSF11A,0.816
NPC1,ABCA1,0.816
PIK3R1,CTLA4,0.816
DRD4,DRD2,0.816
NDUFA4,TOMM7,0.815
NPC1L1,ABCA1,0.815
MEIS1,LMX1B,0.815
SLC2A2,KCNJ11,0.815
TLR4,DDX58,0.815
PTEN,BCL2,0.815
FGFR4,IRS1,0.815
ATP5MC1,NDUFAB1,0.814
NDUFA10,NDUFAF6,0.814
SLC30A8,FTO,0.814
PDE3A,GUCY1B1,0.813
HMGA2,LPP,0.813
PPP2R3A,LPP,0.813
NDUFA4,MT-ND4L,0.812
IRX3,FTO,0.812
TRAF3,MAP3K1,0.812
SCARB2,LPL,0.812
TLR4,IFIH1,0.811
APOE,HP,0.811
JAG1,RUNX3,0.811
CTBP1,HDAC9,0.811
PNLIP,AMY2A,0.811
TSPAN8,IGF2BP2,0.81
SI,SLC5A2,0.81
IL1B,CSF1,0.81
SREBF1,MYC,0.81
CTBP1,ZFPM1,0.81
ATP5F1E,NDUFA6,0.809
MED27,TAF8,0.809
IGF2BP1,FMR1,0.809
SLC2A2,ABCC8,0.809
IL1B,BCL2,0.808
SLC51B,NR1H4,0.808
NCOR2,NR1H4,0.808
TAF8,CCNH,0.808
PTPN22,TRAF3,0.808
IL13,ARG1,0.807
PTEN,ESR1,0.807
NCOR2,FOXP1,0.807
PTPN22,TNFAIP3,0.807
PCM1,BBIP1,0.806
HMGCR,ACE,0.806
IL13,TLR4,0.806
LEP,IL10,0.806
APOE,HMGCR,0.806
LEP,ESR1,0.806
PDCD4,PTEN,0.805
PDE3B,ADCY5,0.805
UMOD,HNF1B,0.805
ATP5F1E,NDUFB10,0.805
NDUFB5,NDUFA4L2,0.805
NEUROD1,NKX6-1,0.805
FXYD2,ATP4B,0.805
NDUFA7,NDUFA4L2,0.804
DGKB,PLCG2,0.804
MTNR1B,G6PC2,0.804
PCSK1,LEP,0.804
SMAD3,RBPJ,0.803
JAG1,MAML2,0.803
NOTCH2,HEY2,0.803
SLC2A2,PAX4,0.803
PDX1,HNF1B,0.803
TIGAR,HK1,0.803
IL1B,NOS2,0.803
PPARG,HTT,0.802
NDUFC2,NDUFAF3,0.802
NDUFA9,NDUFAF3,0.802
GIPR,TCF7L2,0.802
PDE1A,ADCY5,0.802
WIPI1,VMP1,0.802
CCND1,MTOR,0.802
NDUFS7,ATP5MC1,0.802
RIT2,BRAF,0.801
NKX6-1,RFX6,0.801
PCSK1,FTO,0.801
HDAC4,PPARG,0.8
ERAP1,IL23R,0.8
MTNR1B,CDKAL1,0.8
IL1B,ARG1,0.8
CFAP69,CFAP44,0.8
CELSR2,PCSK9,0.799
BCL2L11,ERN1,0.799
ATP5F1E,NDUFA13,0.799
BRAF,FBXW7,0.799
DCAF5,L3MBTL3,0.799
MAGI2,ADRB1,0.799
HHEX,KCNJ11,0.798
FGFR4,PIK3R1,0.798
EYA2,DACH1,0.798
CCDC92,ZNF664,0.798
PDE4B,ADCY5,0.797
APOE,SCARB2,0.797
ATP5F1E,NDUFS6,0.797
PRMT6,HMGA1,0.797
LIPC,APOA4,0.796
TNFAIP6,HAS2,0.796
CDKN1B,RBL2,0.796
SLC5A2,MGAM,0.796
LAMC1,ITGA1,0.796
SREBF1,IRS2,0.796
ANKH,ENPP1,0.795
PPP2R3A,PPP2R2C,0.795
IDE,ECE2,0.795
ATP5F1E,NDUFA7,0.795
NEUROG3,FOXA2,0.795
INS,GCGR,0.795
IGF2BP3,FTO,0.794
JAKMIP1,TYK2,0.794
NCAM1,SELL,0.794
NDUFS8,LGSN,0.794
PPARG,ESR1,0.794
GALNT10,C1GALT1,0.794
LPA,LPL,0.794
NDUFA4L2,NDUFA5,0.794
CTRB2,INS,0.793
G6PC2,ADCY5,0.793
BCL2,BDNF,0.793
LAMC1,COL18A1,0.793
ERBB4,PTEN,0.793
IRS1,PTEN,0.792
IL2RA,TYK2,0.792
SF3B4,LRMDA,0.792
PARD3B,GPSM1,0.792
ATP5F1E,NDUFA3,0.791
SI,GLP1R,0.79
KIF11,SLC30A8,0.79
GLP2R,DPP4,0.79
DRD2,BDNF,0.79
HUWE1,TOM1,0.79
FGFR4,FGFR3,0.79
PPARG,EBF2,0.79
NPC1,HMGCR,0.789
CCDC92,PSMD6,0.789
RBPJ,KDM5A,0.789
TAL1,ETS1,0.789
PTGS2,IL10,0.789
ADCY9,PDE4B,0.789
COMT,TH,0.789
NLGN1,MDGA2,0.788
ADCY1,PDE4B,0.788
ATP5F1E,NDUFV3,0.787
INS,FOXA2,0.787
SAG,AGTR1,0.787
NOTCH2,DLK1,0.787
PTGS2,TLR4,0.787
SOCS2,IGF1R,0.787
DTL,UHRF1,0.786
MC4R,INS,0.786
HNF4A,NR1H4,0.786
KDM2B,KDM5A,0.786
PSMA3,PRKN,0.786
EXOC6,VPS53,0.785
IRS1,BCL2,0.785
GLP1R,MGAM,0.785
DCAF5,ACTN1,0.784
IRX6,FTO,0.784
CNR1,BDNF,0.784
LEPR,IL10,0.784
CRTC1,MAML2,0.784
BCL2L11,BRAF,0.783
SIX3,FOXA2,0.783
COMT,DRD3,0.783
CDKAL1,ADAMTS9,0.783
LAMC1,COL27A1,0.783
PML,MYC,0.783
HSPA4,ERN1,0.783
SLC5A1,INS,0.783
IRS1,LEPR,0.782
MYC,PHGDH,0.782
SIRPA,CTLA4,0.782
IL1B,TNFAIP3,0.782
MYOZ2,TTN,0.782
CDKAL1,TSPAN8,0.782
B3GLCT,ADAMTS9,0.782
PLA2G6,PTGS1,0.782
CDKAL1,CDC123,0.782
LTK,PIK3R1,0.781
NDUFS2,NDUFAF6,0.781
GTF2I,MYC,0.781
GOPC,ADRB1,0.781
MTOR,PRKN,0.781
APOA4,LPL,0.781
BCL2,IGF1R,0.781
CALCR,NFATC1,0.781
ERBB4,BDNF,0.781
BCL2,ERN1,0.781
KCNJ11,IGF2BP2,0.78
INS,ARNTL,0.78
ALDH2,HMGA2,0.78
ACE,SLC5A2,0.78
JARID2,KDM2B,0.78
KDM4B,KDM2B,0.779
COL18A1,LAMA1,0.779
GRP,FOLH1,0.779
RBPJ,L3MBTL3,0.779
ATXN7,HTT,0.779
MT-ND3,NDUFAF6,0.779
ADCY1,PDE3A,0.779
CPEB3,FXR1,0.778
IL1B,MYC,0.778
TRAF3,TNFAIP3,0.777
HNF4A,PROX1,0.777
ADCY9,PDE3A,0.777
GNPDA2,FAIM2,0.777
APOE,TLR4,0.777
IL1B,HSPA4,0.776
DHTKD1,BCKDHB,0.776
SMAD3,FOXA2,0.775
ADCY9,ADCY1,0.775
MYC,EYA1,0.775
ERBB4,INS,0.774
INS,NR1H4,0.774
NEUROD1,RFX6,0.774
NDUFA4L2,NDUFA6,0.774
SIX3,GLI2,0.774
CGNL1,CYP19A1,0.774
CCND1,HNF4A,0.773
BRAF,CTLA4,0.773
PLA2G6,PTGS2,0.773
SLC39A10,SLC39A11,0.773
CDKN2B,IGF2BP2,0.773
PDE3B,ADCY1,0.773
SEC16B,FAIM2,0.773
NDUFB5,ATP5MC1,0.772
IL1B,REL,0.772
ATP5MC1,NDUFA13,0.772
PDE3B,GUCY1B1,0.772
KCNQ1,HHEX,0.772
ZC3H13,IGF2BP1,0.771
MRAS,RASGRP1,0.771
ADA,PKIG,0.771
ATP4A,ACE,0.771
ATP4B,ATP1A2,0.77
ADCY1,CAMK2B,0.77
ONECUT1,PROX1,0.77
ADRA1D,AGTR1,0.77
ATP5MC1,NDUFA11,0.77
ID4,TCF12,0.769
CDC123,NUDT5,0.769
IL12B,TYK2,0.769
PPP2R3A,PPP3CA,0.769
SHBG,CYP19A1,0.769
BAK1,ERN1,0.769
HEY2,MAML2,0.768
FTO,TCF7L2,0.768
SEC16B,NEGR1,0.768
MT-ND2,NDUFAF6,0.767
BDNF,NCAM1,0.767
NDUFB4,NDUFA4L2,0.767
SLCO6A1,MYC,0.766
MEF2C,TCF4,0.766
HDAC4,RUNX3,0.766
PAX4,ABCC8,0.766
SV2A,LAMA1,0.765
MTOR,BCL2,0.765
ARF5,CYTH1,0.765
KDM5A,NSD1,0.765
LAMC1,ITGA11,0.765
LDB2,LMX1B,0.764
PPARG,TCF4,0.764
RPTOR,INS,0.764
PRKN,TH,0.764
LEP,SHBG,0.763
SCARB2,PPARD,0.763
SIX3,LHX2,0.763
MTNR1B,SLC30A8,0.763
HEY2,MAML3,0.763
NDUFB9,EYA1,0.763
ANK1,MAML2,0.763
PDE1A,GUCY1B1,0.762
SLC5A1,DPP4,0.762
NEUROD1,HNF1B,0.762
CDKAL1,JAZF1,0.762
GCK,IRS2,0.762
SIX3,P2RY1,0.762
REL,NFATC1,0.762
LEP,FTO,0.761
MC4R,BDNF,0.761
NPC1L1,SREBF1,0.761
ADA,XDH,0.761
BCL2,BRAF,0.761
BRD3,MYC,0.761
HMGB1,HP,0.76
ATP5F1E,NDUFS5,0.759
GCK,HNF1B,0.759
FOLH1,DPP4,0.758
KCNK17,KCNK16,0.758
MT-ND6,NDUFAF6,0.758
ATP4B,LIPF,0.757
MT-ND4L,NDUFAF4,0.757
RARB,NCOR2,0.757
G6PC2,DGKB,0.757
NDUFS8,ATP5MC1,0.756
HMGA2,MYC,0.756
TSPAN8,SLC30A8,0.756
LIN7A,KCNJ12,0.756
NDUFAF2,MT-ND4L,0.756
KCNQ1,SLC30A8,0.755
SGIP1,NCALD,0.755
CDC25A,DTL,0.755
AKT2,ADCY5,0.755
CEP120,POC5,0.754
WT1,ZFPM2,0.754
ADCY1,PDE1A,0.754
TAL1,BCL11B,0.754
NOS2,TLR4,0.754
ABCA1,NR1H4,0.754
JAG1,MAML3,0.753
NEUROD1,GLIS3,0.752
TNFAIP6,IL1B,0.752
CCND1,BCL2L11,0.752
PCNT,HAUS6,0.752
PRKN,HK1,0.752
MYC,FOXP1,0.752
GLP1R,TCF7L2,0.752
CDKN2C,CDKN2B,0.751
SLC5A1,GLP1R,0.751
VPS33B,PRC1,0.751
IL1B,IL23R,0.751
NEUROG3,GLIS3,0.751
KCNJ11,CAPN10,0.75
ABCA1,SNTB1,0.75
CACNA1D,CAMK2B,0.75
HUWE1,SHOC2,0.75
INS,BDNF,0.75
CDKN1B,CCNH,0.75
ADRA1D,DTNA,0.749
KCNQ1,KCNJ11,0.749
WFS1,ABCC8,0.749
LAMC1,RMC1,0.749
SLC30A1,SLC39A11,0.749
MTNR1B,GCKR,0.749
CTBP1,TRPS1,0.748
PPARG,KCNJ11,0.748
SORT1,SORCS2,0.748
HHEX,TAL1,0.748
IL1B,PTGS1,0.748
TET2,SETBP1,0.748
HSPA4,MTOR,0.748
CDKN1B,BCL2L11,0.748
MBNL1,FMR1,0.747
DLK1,GRB10,0.747
CRTC1,MAML3,0.747
FGFR3,BDNF,0.747
ITGA1,ACTN1,0.747
GAD1,TH,0.746
ESR1,BRAF,0.746
NDUFA4L2,NDUFA13,0.746
CSF1,IGF1R,0.746
LIPC,ABCA1,0.746
CDKN2B,SMAD3,0.745
LRIG1,ERBB4,0.745
SGCG,DTNA,0.745
TSPAN8,FTO,0.745
MTNR1B,KCNJ11,0.745
TANK,TLR4,0.745
MRPL11,SRP54,0.745
MTOR,ESR1,0.745
PPARG,ACSL1,0.745
PTGS2,BCL2,0.745
NEUROG3,TCF4,0.744
REL,MYC,0.744
RPTOR,PTEN,0.744
INSR,LEP,0.744
ESR1,PIAS1,0.744
ESR1,NR1H4,0.744
TLR4,SELL,0.743
GCKR,DGKB,0.743
APOE,SORT1,0.743
CTLA4,SELL,0.743
ISL1,INS,0.743
HDAC4,BCORL1,0.743
IL1B,DDX58,0.743
GLP1R,GIPR,0.743
CAMK2B,CACNA2D3,0.742
CCND1,JAG1,0.742
NDUFAF2,NDUFS5,0.742
ABCA1,INS,0.742
IL10,SELL,0.741
NDUFA2,NDUFA4L2,0.741
MAD1L1,ANAPC4,0.741
CSF1,SIRPA,0.741
INS,AMY2A,0.741
APOE,PPARG,0.74
REL,ESR1,0.74
MTOR,IL10,0.74
KLB,NR1H4,0.74
PDE8B,ADCY5,0.74
NDUFAF3,MT-ND4L,0.74
LPA,ABCA1,0.74
QKI,BRAF,0.74
ATG16L1,TECPR1,0.74
KCNQ1,IGF2BP2,0.739
MRPL11,HDDC3,0.739
GCK,HNF4A,0.739
PPARG,TLR4,0.738
ADRA2A,ADCY5,0.738
MLXIPL,PPARA,0.738
LEPR,TYK2,0.738
NDUFAF6,NDUFB3,0.738
IL1B,PTEN,0.738
DDX20,FMR1,0.738
ADRB1,SAG,0.738
WFS1,CDKAL1,0.737
TRAF3IP2,TNFAIP3,0.737
IGF2BP2,TCF7L2,0.737
TCF12,MYC,0.737
GCK,RFX6,0.737
SNTB1,NOS1,0.737
SLC1A2,PAMR1,0.737
DNAJC10,MRPL11,0.737
HNF4A,PDX1,0.737
RBMS1,MYC,0.736
NDUFS8,NDUFA4L2,0.736
WT1,ESR1,0.736
GCK,ADCY5,0.736
HHEX,ONECUT1,0.735
PPARG,PTGS2,0.735
GCK,IRS1,0.735
ECE2,EDNRB,0.735
IL13,IFNLR1,0.735
IRS1,ERBB4,0.734
RBPJ,FBXW7,0.734
PPARG,LEPR,0.734
SCARB2,PCSK9,0.734
APOE,IL10,0.734
PPARG,IL10,0.733
RFX6,PAX4,0.733
IL13,CSF1,0.733
PTPN22,IL2RA,0.733
PPARG,HMGA1,0.733
GLP2R,SLC5A1,0.733
LEP,BDNF,0.732
DLK1,CDKN1C,0.732
AGMO,DGKB,0.732
PNPLA3,ACSL1,0.732
ASTN2,NLGN1,0.732
CDKN1B,IGF1R,0.732
MDM4,PTEN,0.732
NEUROG3,HNF1A,0.732
SREBF1,LPL,0.732
SSR1,SRP54,0.732
CDKAL1,ADCY5,0.731
SMAD3,GLI2,0.731
CACNA1D,KCNU1,0.731
PCGF3,FBRSL1,0.731
LEP,MTOR,0.731
TOMM7,NDUFB3,0.731
LEP,SLC2A2,0.73
MTOR,MYC,0.73
CSF1,FGFR3,0.73
IRS1,TBC1D4,0.73
MTNR1B,INS,0.73
NR2F1,ESR1,0.729
APOE,PCSK9,0.729
PDE4B,CAMK2B,0.729
SHBG,ESR1,0.729
MNT,MLXIPL,0.729
PTGS2,PPARA,0.729
GRB14,COBLL1,0.728
MYBL2,CDC25A,0.728
SI,PNLIP,0.728
CAMK2B,ADCY5,0.728
MDM4,BCL2,0.728
ANK1,ARAP1,0.727
ZC3H13,IGF2BP3,0.727
MLXIPL,NR1H4,0.727
KL,INS,0.726
SLC30A8,ABCC8,0.726
NDUFB7,NDUFA4L2,0.726
NDUFS3,NDUFA4L2,0.726
PPARG,IRS1,0.726
NDUFS3,SAMM50,0.726
INSR,BDNF,0.726
IL12B,IL10,0.725
WFS1,KCNJ11,0.725
KCNJ11,FTO,0.725
TH,INS,0.725
WRN,FANCL,0.724
TNFAIP6,PTGS2,0.724
ACE,XDH,0.724
